_c0	_c1	_c2	_c3	suma	year
0	E	1	1999-02-28	1	1999
1	A	2	1999-10-28	3	1999
2	B	5	1998-05-02	7	1998
3	A	3	1999-08-28	6	1999
4	C	6	1999-12-01	10	1999
5	A	7	1998-07-28	12	1998
6	A	9	1997-02-28	15	1997
7	B	1	1999-05-10	8	1999
8	E	2	1997-04-12	10	1997
9	B	3	1999-11-23	12	1999
10	C	7	1998-01-17	17	1998
11	C	5	1998-12-28	16	1998
12	D	3	1999-10-15	15	1999
13	E	8	1998-11-01	21	1998
14	B	9	1999-08-12	23	1999
15	D	1	1997-12-01	16	1997
16	E	3	1997-07-28	19	1997
17	D	5	1998-08-12	22	1998
18	E	8	1999-08-24	26	1999
19	E	9	1998-01-23	28	1998
20	E	7	1999-06-22	27	1999
21	E	3	1999-04-24	24	1999
22	D	5	1999-06-25	27	1999
23	A	1	1999-08-25	24	1999
24	E	4	1997-07-26	28	1997
25	E	6	1997-09-24	31	1997
26	A	8	1997-09-28	34	1997
27	E	5	1999-06-22	32	1999
28	A	6	1999-07-29	34	1999
29	C	0	1999-08-22	29	1999
30	A	1	1998-04-26	31	1998
31	D	2	1998-02-24	33	1998
32	E	5	1999-03-24	37	1999
33	B	4	1998-03-23	37	1998
34	B	6	1999-04-21	40	1999
35	D	7	1999-02-29	42	1999
36	B	8	1997-05-21	44	1997
37	C	9	1997-07-22	46	1997
38	E	1	1999-09-28	39	1999
39	E	5	1998-01-26	44	1998
